,zeta_46m,phi_w,phi_w*
2013-05-16 20:00:00,,,1.25
2013-05-16 20:30:00,,,1.25
2013-05-16 21:00:00,,,1.25
2013-05-16 21:30:00,0.14312241,1.11327131708,1.25
2013-05-16 22:00:00,,,1.25
2013-05-16 22:30:00,0.085242708,1.05060051888,1.25
2013-05-16 23:00:00,0.056289919,1.07919100012,1.25
2013-05-16 23:30:00,,,1.25
2013-05-17 00:00:00,,,1.25
2013-05-17 00:30:00,,,1.25
2013-05-17 01:00:00,,,1.25
2013-05-17 01:30:00,0.1569253,1.3078650774,1.25
2013-05-17 02:00:00,0.38522583,1.83126045193,1.25
2013-05-17 02:30:00,,,1.25
2013-05-17 03:00:00,0.15442666,1.10500598061,1.25
2013-05-17 03:30:00,0.24080614,1.13142815121,1.25
2013-05-17 04:00:00,,,1.25
2013-05-17 04:30:00,0.14663922,1.11623124802,1.25
2013-05-17 05:00:00,0.1333926,1.13625020704,1.25
2013-05-17 05:30:00,0.19749902,1.27551773266,1.25
2013-05-17 06:00:00,,,1.25
2013-05-17 06:30:00,,,1.25
2013-05-17 07:00:00,,,1.25
2013-05-17 07:30:00,,,1.25
2013-05-17 08:00:00,,,1.25
2013-05-17 08:30:00,,,1.25
2013-05-17 09:00:00,,,1.25
2013-05-17 09:30:00,,,1.25
2013-05-17 10:00:00,,,1.25
2013-05-17 10:30:00,-0.28732655,1.21501354758,1.53780637306
2013-05-17 11:00:00,-0.33952954,1.28108506765,1.57976548066
2013-05-17 11:30:00,-0.14135434,1.30841838068,1.40632732744
2013-05-17 12:00:00,-0.13746949,1.19367370805,1.40248034674
2013-05-17 12:30:00,-0.31200165,1.2741640565,1.55792124886
2013-05-17 13:00:00,-0.11380744,1.06557986789,1.37857962601
2013-05-17 13:30:00,,,1.25
2013-05-17 14:00:00,,,1.25
2013-05-17 14:30:00,,,1.25
2013-05-17 15:00:00,,,1.25
2013-05-17 15:30:00,,,1.25
2013-05-17 16:00:00,,,1.25
2013-05-17 16:30:00,0.03829262,1.10431609665,1.25
2013-05-17 17:00:00,0.08070109,1.00144966864,1.25
2013-05-17 17:30:00,,,1.25
2013-05-17 18:00:00,0.47255084,1.1128288304,1.25
2013-05-17 18:30:00,,,1.25
2013-05-17 19:00:00,,,1.25
2013-05-17 19:30:00,,,1.25
2013-05-17 20:00:00,,,1.25
2013-05-17 20:30:00,,,1.25
2013-05-17 21:00:00,,,1.25
2013-05-17 21:30:00,,,1.25
2013-05-17 22:00:00,,,1.25
2013-05-17 22:30:00,,,1.25
2013-05-17 23:00:00,,,1.25
2013-05-17 23:30:00,,,1.25
2013-05-18 00:00:00,,,1.25
2013-05-18 00:30:00,,,1.25
2013-05-18 01:00:00,,,1.25
2013-05-18 01:30:00,,,1.25
2013-05-18 02:00:00,,,1.25
2013-05-18 02:30:00,,,1.25
2013-05-18 03:00:00,,,1.25
2013-05-18 03:30:00,,,1.25
2013-05-18 04:00:00,,,1.25
2013-05-18 04:30:00,,,1.25
2013-05-18 05:00:00,1.2505006,1.85513989812,1.25
2013-05-18 05:30:00,,,1.25
2013-05-18 06:00:00,0.2441673,1.1371010931,1.25
2013-05-18 06:30:00,0.70251226,1.13122797725,1.25
2013-05-18 07:00:00,,,1.25
2013-05-18 07:30:00,0.035401253,1.16592752411,1.25
2013-05-18 08:00:00,-0.033670844,1.19580084322,1.2907459383
2013-05-18 08:30:00,-0.022332252,0.958656192561,1.27731411882
2013-05-18 09:00:00,-0.10925562,1.06791327177,1.37388575709
2013-05-18 09:30:00,-0.094191464,1.09574620123,1.35811809155
2013-05-18 10:00:00,-0.17557468,1.13560009645,1.4393404404
2013-05-18 10:30:00,-0.43218325,1.32365463258,1.64918217573
2013-05-18 11:00:00,-0.66051037,1.54777489346,1.79910479655
2013-05-18 11:30:00,,,1.25
2013-05-18 12:00:00,,,1.25
2013-05-18 12:30:00,,,1.25
2013-05-18 13:00:00,,,1.25
2013-05-18 13:30:00,,,1.25
2013-05-18 14:00:00,,,1.25
2013-05-18 14:30:00,,,1.25
2013-05-18 15:00:00,,,1.25
2013-05-18 15:30:00,,,1.25
2013-05-18 16:00:00,,,1.25
2013-05-18 16:30:00,,,1.25
2013-05-18 17:00:00,,,1.25
2013-05-18 17:30:00,0.13837147,1.3391602083,1.25
2013-05-18 18:00:00,,,1.25
2013-05-18 18:30:00,,,1.25
2013-05-18 19:00:00,,,1.25
2013-05-18 19:30:00,,,1.25
2013-05-18 20:00:00,,,1.25
2013-05-18 20:30:00,,,1.25
2013-05-18 21:00:00,,,1.25
2013-05-18 21:30:00,,,1.25
2013-05-18 22:00:00,,,1.25
2013-05-18 22:30:00,,,1.25
2013-05-18 23:00:00,,,1.25
2013-05-18 23:30:00,,,1.25
2013-05-19 00:00:00,,,1.25
2013-05-19 00:30:00,,,1.25
2013-05-19 01:00:00,,,1.25
2013-05-19 01:30:00,,,1.25
2013-05-19 02:00:00,,,1.25
2013-05-19 02:30:00,,,1.25
2013-05-19 03:00:00,,,1.25
2013-05-19 03:30:00,,,1.25
2013-05-19 04:00:00,,,1.25
2013-05-19 04:30:00,,,1.25
2013-05-19 05:00:00,,,1.25
2013-05-19 05:30:00,,,1.25
2013-05-19 06:00:00,,,1.25
2013-05-19 06:30:00,,,1.25
2013-05-19 07:00:00,,,1.25
2013-05-19 07:30:00,,,1.25
2013-05-19 08:00:00,,,1.25
2013-05-19 08:30:00,-4.5522215,2.50574735245,3.05906281735
2013-05-19 09:00:00,-3.1537816,2.09355475179,2.7338363799
2013-05-19 09:30:00,-0.59680115,1.1871420085,1.75980958881
2013-05-19 10:00:00,-0.58387696,1.33886269711,1.75162070945
2013-05-19 10:30:00,-0.59246211,1.33322989004,1.75706884221
2013-05-19 11:00:00,-1.837353,1.91093646043,2.33426122127
2013-05-19 11:30:00,,,1.25
2013-05-19 12:00:00,,,1.25
2013-05-19 12:30:00,,,1.25
2013-05-19 13:00:00,0.017061708,1.13027543228,1.25
2013-05-19 13:30:00,-0.31531398,1.29195419758,1.56058216432
2013-05-19 14:00:00,-0.35061377,1.37122210408,1.58839289623
2013-05-19 14:30:00,-0.21976373,1.24621627883,1.47984949551
2013-05-19 15:00:00,0.00080273778,1.03730190756,1.25
2013-05-19 15:30:00,-0.16654974,1.10126745014,1.43078125481
2013-05-19 16:00:00,,,1.25
2013-05-19 16:30:00,,,1.25
2013-05-19 17:00:00,,,1.25
2013-05-19 17:30:00,,,1.25
2013-05-19 18:00:00,,,1.25
2013-05-19 18:30:00,,,1.25
2013-05-19 19:00:00,,,1.25
2013-05-19 19:30:00,,,1.25
2013-05-19 20:00:00,,,1.25
2013-05-19 20:30:00,,,1.25
2013-05-19 21:00:00,,,1.25
2013-05-19 21:30:00,,,1.25
2013-05-19 22:00:00,0.11861372,1.13815023781,1.25
2013-05-19 22:30:00,0.073865822,1.02126120938,1.25
2013-05-19 23:00:00,0.22529303,1.24434697451,1.25
2013-05-19 23:30:00,,,1.25
2013-05-20 00:00:00,,,1.25
2013-05-20 00:30:00,0.52466121,1.40955583744,1.25
2013-05-20 01:00:00,0.15634153,1.12286207721,1.25
2013-05-20 01:30:00,0.36605434,1.2174388845,1.25
2013-05-20 02:00:00,,,1.25
2013-05-20 02:30:00,,,1.25
2013-05-20 03:00:00,,,1.25
2013-05-20 03:30:00,,,1.25
2013-05-20 04:00:00,,,1.25
2013-05-20 04:30:00,,,1.25
2013-05-20 05:00:00,,,1.25
2013-05-20 05:30:00,,,1.25
2013-05-20 06:00:00,,,1.25
2013-05-20 06:30:00,,,1.25
2013-05-20 07:00:00,,,1.25
2013-05-20 07:30:00,,,1.25
2013-05-20 08:00:00,-3.7065637,1.98244466987,2.87126887604
2013-05-20 08:30:00,-1.1310243,1.80232326618,2.04722770275
